kode_mk,nama_mk,prodi,prioritas,berminat,dosen_id,dosen_list,jenis,ruang,waktu
CIE61101,Perkembangan Peserta Didik,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",39.0,['39.0'],reguler,F4.12,Kamis_12:50-13:40
CIE61102,Perkembangan Peserta Didik,Pendidikan Teknologi Informasi,2,Pengampu,59.0,['59.0'],reguler,F4.13,Senin_12:50-13:40
CIE61102,Filsafat Pendidikan dan Sains,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F3.13,Kamis_10:20-11:10
CIE61103,Filsafat Pendidikan dan Sains,Pendidikan Teknologi Informasi,2,Pengampu,103.0,['103.0'],reguler,F3.16,Kamis_09:30-10:20
CIE61103,Komunikasi dan Teknologi Pendidikan,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",103.0,['103.0'],reguler,F4.14,Senin_07:50-08:40
CIE61104,Komunikasi dan Teknologi Pendidikan,Pendidikan Teknologi Informasi,1,Pengampu,39.0,['39.0'],reguler,F2.6,Selasa_08:40-09:30
CIE61108,Penilaian Hasil Belajar,Pendidikan Teknologi Informasi,1,Pengampu,100.0,['100.0'],reguler,F3.7b,Senin_11:10-12:00
CIE61109,Pembelajaran Mikro,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",39.0,['39.0'],reguler,F11.4,Selasa_12:50-13:40
CIE61110,Pembelajaran Mikro,Pendidikan Teknologi Informasi,1,Pengampu,100.0,['100.0'],reguler,F3.9,Kamis_12:50-13:40
CIE61110,Perancangan Pembelajaran,Pendidikan Teknologi Informasi,1,Pengampu,39.0,['39.0'],reguler,F3.9,Rabu_13:40-14:30
CIE61110,Perancangan Pembelajaran,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F3.6,Rabu_13:40-14:30
CIE61110,Perancangan Pembelajaran,Pendidikan Teknologi Informasi,1,Pengampu,100.0,['100.0'],reguler,F11.4,Selasa_12:00-12:50
CIE61111,Pengenalan Lapangan Persekolahan 1,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",103.0,['103.0'],reguler,F4.12,Senin_07:00-07:50
CIE61111,Pengenalan Lapangan Persekolahan 1,Pendidikan Teknologi Informasi,1,Pengampu,39.0,['39.0'],reguler,F11.1,Rabu_17:50-18:40
CIE61111,Pengenalan Lapangan Persekolahan 1,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F3.3,Selasa_08:40-09:30
CIE61111,Pengenalan Lapangan Persekolahan 1,Pendidikan Teknologi Informasi,2,Pengampu,59.0,['59.0'],reguler,F3.1,Rabu_17:00-17:50
CIE61112,Pengenalan Lapangan Persekolahan 2,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",103.0,['103.0'],reguler,F4.9,Senin_08:40-09:30
CIE61113,Pengenalan Lapangan Persekolahan 3,Pendidikan Teknologi Informasi,1,Pengampu,39.0,['39.0'],reguler,F4.6,Selasa_07:00-07:50
CIE61114,Pengenalan Lapangan Persekolahan 4,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F2.8,Rabu_09:30-10:20
CIE61115,Pengenalan Lapangan Persekolahan 5,Pendidikan Teknologi Informasi,2,Pengampu,59.0,['59.0'],reguler,F4.13,Senin_12:00-12:50
CIE61113,Pengembangan Program Pelatihan Teknologi Informasi,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",Belum Ada Dosen,['Belum Ada Dosen'],reguler,F4.2,Kamis_11:10-12:00
CIE61113,Pengembangan Program Pelatihan Teknologi Informasi,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",47.0,['47.0'],reguler,F3.14,Rabu_12:00-12:50
CIE61114,Pendidikan Orang Dewasa dan Berkelanjutan,Pendidikan Teknologi Informasi,1,Pengampu,39.0,['39.0'],reguler,F2.6,Kamis_09:30-10:20
CIE61114,Pendidikan Orang Dewasa dan Berkelanjutan,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F2.2,Rabu_10:20-11:10
CIE61114,Pendidikan Orang Dewasa dan Berkelanjutan,Pendidikan Teknologi Informasi,2,Pengampu,59.0,['59.0'],reguler,F4.7,Rabu_11:10-12:00
CIE61115,Manajemen Sistem Pendidikan,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",39.0,['39.0'],reguler,F3.3,Senin_09:30-10:20
CIE61119,Multimodal Storytelling,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F4.3,Senin_13:40-14:30
CIE61119,Multimodal Storytelling,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F4.6,Rabu_15:20-16:10
CIE61120,Literasi Digital,Pendidikan Teknologi Informasi,1,Pengampu,11.0,['11.0'],reguler,F2.5,Rabu_12:50-13:40
CIE61120,Literasi Digital,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F3.15,Rabu_17:00-17:50
CIE61120,Literasi Digital,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F9.2,Selasa_17:50-18:40
CIE61120,Literasi Digital,Pendidikan Teknologi Informasi,2,Pengampu,12.0,['12.0'],reguler,F4.10,Jumat_14:30-15:20
CIE61120,Literasi Digital,Pendidikan Teknologi Informasi,2,Pengampu,103.0,['103.0'],reguler,F3.16,Rabu_14:30-15:20
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",103.0,['103.0'],reguler,F4.2,Kamis_07:00-07:50
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",4.0,['4.0'],reguler,F3.17,Kamis_12:50-13:40
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",47.0,['47.0'],reguler,F3.5a,Jumat_07:00-07:50
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,1,Pengampu,75.0,['75.0'],reguler,F2.8,Senin_17:50-18:40
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,1,Pengampu,82.0,['82.0'],reguler,F4.3,Rabu_16:10-17:00
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,1,Pengampu,105.0,['105.0'],reguler,F4.11,Rabu_10:20-11:10
CIE61206,Jaringan Komputer,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",17.0,['17.0'],reguler,F9.2,Kamis_07:50-08:40
CIE61206,Jaringan Komputer,Pendidikan Teknologi Informasi,1,Pengampu,39.0,['39.0'],reguler,F4.12,Rabu_14:30-15:20
CIE61206,Jaringan Komputer,Pendidikan Teknologi Informasi,1,Pengampu,75.0,['75.0'],reguler,F3.13,Kamis_16:10-17:00
CIE61206,Jaringan Komputer,Pendidikan Teknologi Informasi,1,Pengampu,79.0,['79.0'],reguler,F2.4,Selasa_11:10-12:00
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,4.0,['4.0'],reguler,F3.11,Jumat_10:20-11:10
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,60.0,['60.0'],reguler,F4.5,Rabu_12:00-12:50
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,75.0,['75.0'],reguler,F2.6,Senin_14:30-15:20
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,91.0,['91.0'],reguler,F2.5,Jumat_07:50-08:40
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,102.0,['102.0'],reguler,F3.7b,Jumat_11:10-12:00
CIE61208,Basis Data,Pendidikan Teknologi Informasi,1,Pengampu,108.0,['108.0'],reguler,F9.1,Selasa_11:10-12:00
CIE61215,Pengembangan Aplikasi Peranti Bergerak,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",47.0,['47.0'],reguler,F3.7b,Selasa_17:00-17:50
CIE61301,Kalkulus dan Aljabar Linear,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",103.0,['103.0'],reguler,F4.10,Rabu_15:20-16:10
CIE61301,Kalkulus dan Aljabar Linear,Pendidikan Teknologi Informasi,1,Pengampu,100.0,['100.0'],reguler,F4.7,Jumat_17:50-18:40
CIE61301,Kalkulus dan Aljabar Linear,Pendidikan Teknologi Informasi,2,Pengampu,75.0,['75.0'],reguler,F4.14,Jumat_17:50-18:40
CIE61402,Paradigma Berpikir Komputasi,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F4.12,Selasa_12:50-13:40
CIE61403,Paradigma Berpikir Sistem dan Desain,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F4.3,Senin_15:20-16:10
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,1,Pengampu,6.0,['6.0'],reguler,F3.17,Jumat_15:20-16:10
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,1,Pengampu,60.0,['60.0'],reguler,F3.10,Rabu_17:00-17:50
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,1,Pengampu,67.0,['67.0'],reguler,F3.4,Jumat_16:10-17:00
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,1,Pengampu,76.0,['76.0'],reguler,F3.6,Jumat_13:40-14:30
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,2,Pengampu,62.0,['62.0'],reguler,F2.9,Senin_07:50-08:40
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,2,Pengampu,105.0,['105.0'],reguler,F4.6,Rabu_14:30-15:20
CIE62104,Pengembangan Kurikulum,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F3.14,Rabu_17:50-18:40
CIE62104,Pengembangan Kurikulum,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F3.10,Jumat_11:15-12:05_AGAMA_KHUSUS
CIE62105,Pembelajaran Berdiferensiasi,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",Belum Ada Dosen,['Belum Ada Dosen'],reguler,F3.6,Selasa_07:00-07:50
CIE62105,Pembelajaran Berdiferensiasi,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",103.0,['103.0'],reguler,F4.10,Rabu_08:40-09:30
CIE62105,Pembelajaran Berdiferensiasi,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F2.9,Jumat_12:50-13:40
CIE62106,Teori dan Sains Belajar,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F4.3,Selasa_09:30-10:20
CIE62106,Teori dan Sains Belajar,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F4.10,Selasa_14:30-15:20
CIE62106,Teori dan Sains Belajar,Pendidikan Teknologi Informasi,1,Pengampu,100.0,['100.0'],reguler,F4.12,Rabu_09:30-10:20
CIE62107,Lingkungan Pembelajaran Digital,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F2.2,Jumat_12:50-13:40
CIE62107,Lingkungan Pembelajaran Digital,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",103.0,['103.0'],reguler,F3.17,Kamis_11:10-12:00
CIE62107,Lingkungan Pembelajaran Digital,Pendidikan Teknologi Informasi,1,Pengampu,40.0,['40.0'],reguler,F4.9,Selasa_07:00-07:50
CIE62107,Lingkungan Pembelajaran Digital,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F11.1,Senin_09:30-10:20
CIE62116,Teknologi Komputasi Awan,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",17.0,['17.0'],reguler,F3.18,Senin_15:20-16:10
CIE62116,Teknologi Komputasi Awan,Pendidikan Teknologi Informasi,1,Pengampu,20.0,['20.0'],reguler,F3.4,Selasa_14:30-15:20
CIE62116,Teknologi Komputasi Awan,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F4.14,Selasa_12:50-13:40
CIE62117,Teknologi Peranti Internet,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",17.0,['17.0'],reguler,F11.3,Jumat_10:20-11:10
CIE62117,Teknologi Peranti Internet,Pendidikan Teknologi Informasi,1,Pengampu,16.0,['16.0'],reguler,F3.14,Jumat_16:10-17:00
CIE62117,Teknologi Peranti Internet,Pendidikan Teknologi Informasi,1,Pengampu,20.0,['20.0'],reguler,F2.5,Kamis_17:50-18:40
CIE62117,Teknologi Peranti Internet,Pendidikan Teknologi Informasi,1,Pengampu,79.0,['79.0'],reguler,F4.13,Rabu_12:50-13:40
CIE62117,Teknologi Peranti Internet,Pendidikan Teknologi Informasi,2,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F3.3,Senin_17:50-18:40
CIE62117,Teknologi Peranti Internet,Pendidikan Teknologi Informasi,2,Pengampu,103.0,['103.0'],reguler,F3.16,Rabu_13:40-14:30
CIE62118,Sistem Pembelajaran Bergamifikasi dan Terpersonalisasi,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F4.11,Selasa_13:40-14:30
CIE62118,Sistem Pembelajaran Bergamifikasi dan Terpersonalisasi,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",103.0,['103.0'],reguler,F3.11,Kamis_07:00-07:50
CIE62118,Sistem Pembelajaran Bergamifikasi dan Terpersonalisasi,Pendidikan Teknologi Informasi,1,Pengampu,40.0,['40.0'],reguler,F2.6,Rabu_13:40-14:30
CIE62118,Sistem Pembelajaran Bergamifikasi dan Terpersonalisasi,Pendidikan Teknologi Informasi,2,Pengampu,16.0,['16.0'],reguler,F4.11,Jumat_17:00-17:50
CIE62118,Sistem Pembelajaran Bergamifikasi dan Terpersonalisasi,Pendidikan Teknologi Informasi,2,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F3.15,Senin_16:10-17:00
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",22.0,['22.0'],reguler,F3.9,Senin_14:30-15:20
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",45.0,['45.0'],reguler,F9.1,Senin_12:50-13:40
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F3.16,Senin_07:50-08:40
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",4.0,['4.0'],reguler,F4.7,Rabu_08:40-09:30
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,1,Pengampu,16.0,['16.0'],reguler,F4.6,Selasa_14:30-15:20
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,1,Pengampu,60.0,['60.0'],reguler,F3.2,Senin_12:00-12:50
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,1,Pengampu,62.0,['62.0'],reguler,F2.4,Rabu_09:30-10:20
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F3.10,Rabu_11:10-12:00
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,2,Pengampu,12.0,['12.0'],reguler,F4.12,Jumat_15:20-16:10
CIE62201,Perancangan Antarmuka Pengguna,Pendidikan Teknologi Informasi,2,Pengampu,98.0,['98.0'],reguler,F11.1,Jumat_17:00-17:50
CIE62202,Teknologi Platform,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",17.0,['17.0'],reguler,F4.7,Selasa_07:00-07:50
CIE62202,Teknologi Platform,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F3.15,Jumat_09:30-10:20
CIE62202,Teknologi Platform,Pendidikan Teknologi Informasi,1,Pengampu,16.0,['16.0'],reguler,F3.18,Rabu_12:50-13:40
CIE62202,Teknologi Platform,Pendidikan Teknologi Informasi,1,Pengampu,Belum Ada Dosen,['Belum Ada Dosen'],reguler,F2.5,Selasa_07:50-08:40
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",98.0,['98.0'],reguler,F4.10,Kamis_10:20-11:10
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",4.0,['4.0'],reguler,F3.14,Rabu_15:20-16:10
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",16.0,['16.0'],reguler,F3.1,Rabu_17:50-18:40
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",20.0,['20.0'],reguler,F9.1,Rabu_14:30-15:20
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",52.0,['52.0'],reguler,F4.7,Selasa_17:50-18:40
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,Pengampu,67.0,['67.0'],reguler,F3.2,Jumat_17:00-17:50
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,Pengampu,70.0,['70.0'],reguler,F2.5,Rabu_10:20-11:10
CIE62203,Pemrograman Berbasis Objek,Pendidikan Teknologi Informasi,1,Pengampu,75.0,['75.0'],reguler,F3.4,Selasa_07:50-08:40
